Budget Time ,globalType,Deprec CC,Prefix,projectNo,projectTitle,Comments ,Approval / Changes Notes ,Credit Type ,businessDriver,category,Program ,Factor,businessCase,Status,SPPM,CRB,PD,SME,Approved CAs,Capital,Expense ,Oustand CA? (Y/N),Carry over 2016,"Benefit 
P-Score","Cost/ Effort 
P-Score",Overall P-Score,Total RR 2016,Expend.,2014,2016,2017,2018,2019,2020,2021,TOTAL,Total Estimated Proj. Cost,2014,2015,2016,2017,2018,2019,2020,2021,Total Current Estimate ,Total Estimated Proj. Cost
MO5,,,,96113,Bulk Product Storage -20/-40,Technology - Project identified during SBP Review.,,Individual,QSP,Improvements and Efficiencies,Launch Facility,,,Placeholder,Deidre Dunham,TBD,TBD,TBD,,,,,,,,,,,,,,,,"$10,000k","$10,000k","$20,000k","$20,000k",#REF!,,,,,,"$10,000k",,"$10,000k",
,,,,96114,QC Testing Equipment for Launch Capability and Storage Requirements,Quality - Project identified during SBP Review.,,Individual,QSP,Tech Transfers,Launch and Commercial Excellence,,,Canceled,Jim Neeleman,TBD,TBD,TBD,,,,,,,,,,,,,,,,,,,$k,#REF!,,,,,,,,,
MO5,,,,96116,PCS Process Support Equipment Integration,,,Individual,QSP,Improvements and Efficiencies,TBD,A1 Automation Improvement,,Idea,Deidre Dunham,TBD,Alister Hufton,Sarah Maruccia,,,,,,,,,25.97,,,,,"$1,500k","$1,500k",,,"$3,000k","$3,000k",#REF!,,,,"$1,500k","$1,500k",,,"$3,000k",
,,1586,G160,96117,MCS Manufacturing Area Wireless Access Point Asset Replacement - 2019,,,Global,QSP,Life Cycle Mgmt,Reliable,,,Idea,Deidre Dunham,TBD,TBD,Myles Sumlin,,,,,,N/A,N/A,N/A,,,,,,,,$440k,$440k,$880k,$880k,#REF!,,,,,,$440k,,$440k,
,,,,96124,Perjeta Tech Transfer,,,Start-up,QSP,Tech Transfers,Launch and Commercial Excellence,,,Idea,Jim Neeleman,N/A,TBD,Semsi Ensari,,,,,,,,60,,,,,"$8,941k","$78,779k","$1,431k",$369k,$369k,"$89,890k","$89,890k",#REF!,,,"$8,941k","$78,779k","$1,431k",$369k,$79k,"$89,600k",
,,,,96125,Flu A  TechTransfer,,,Start-up,QSP,Tech Transfers,Launch and Commercial Excellence,,,Idea,Deidre Dunham,N/A,TBD,Semsi Ensari,,,,,,,,,,,,,,,"$8,941k","$31,170k","$31,170k","$71,280k","$71,280k",#REF!,,,,,"$8,941k","$31,170k","$1,431k","$41,542k",
,,,,96126,Flu B Tech Transfer,,,Start-up,QSP,Tech Transfers,Launch and Commercial Excellence,,,Idea,Deidre Dunham,N/A,TBD,Semsi Ensari,,,,,,,,,0.1,,,,,,,"$8,941k","$8,941k","$17,881k","$17,881k",#REF!,,,,,,"$8,941k","$28,753k","$37,694k",
,,,G160,74546,Mezzanine Safety Shower/Eye Wash Station Install,,5/26/16 cash flow updated from PMT presentation. 5/10/16 project moved above the line per IMPACT discussion. 07/01/2015 SS submitted. ,Individual,RTO,SHE and K-Directives,Highly Capable Workforce,,Cal/OSHA requires that Safety  Showers / Eye Wash stations be within 55' or 10 secs. Currently Manufacturing is using a Manual Liuid Add Process which presents a risk hazardous materials coming into contact with employees.,IMPACT Appr,Melanie Yevilov,TBD,Mel Davis,Marcus Espinoza,,,,,,0.5,2.5,2.9,,,,$100k,$786k,,,,,$886k,$886k,#REF!,,$450k,$436k,,,,,$886k,
,,583,,96133,QC Rapid Scan RDI System,"2016 $210,000",07/01/2015 SS submitted. ,Global,QSP,New Technologies,Launch and Commercial Excellence,,Install and qualify Rapid Scan RDI System for GMP use in QC Lab. This is a global effort to harmonize Rapid Bioburden equipment to test pre filtration media that can measure and detect small measures of bioburden. ,Hold,Jim Neeleman,TBD,TBD,Siu Fai Tsang,,,,,,2.3,2.2,15.3,,,,,$210k,,,,,$210k,$210k,#REF!,,,$210k,,,,,$210k,
,,583,,96135,QC Spectrophotometers,"2016 $327,522",6/2/16 Canceled. Project duplicated. See 64925 07/01/2015 SS submitted. ,Global,QSP,Improvements and Efficiencies,Highly Capable Workforce,,Install and qualify spectrophometers for GMP use in QC Lab to maintain and fast pace on testing for potency assay and reduce risk of job injuries for repetitive motion. ,Canceled,Melanie Yevilov,TBD,TBD,Siu Fai Tsang,,,,,,1.8,1,14.4,#VALUE!,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,$k,#REF!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,
,,,,96136,V-3007 Replacement,4/19/16 SPPM to assess business case prior to T3 updates. 10/05/15 Project being evaluated to dfetermine if it can be done before S/D. ,07/01/2015 SS submitted. ,Global,QSP,Life Cycle Mgmt,Fit for Purpose,,TMAC vessel has been determined to have corrosion and needs to be replaced. Upsizing the pumps and piping for offloading is required to shorten the TMAC waste transfer period. This project is needed to maintain out TMAC system in a reliable and efficient operational state. TMAC vessel is needed for Rituxan. P2 tie-in associated with this vessel.,FXNL LT Appr,Zaymar Sedra ,TBD,Mel Davis,Pierre Luong,,,,,,N/A,N/A,N/A,,,,,$120k,$120k,,,,$240k,$240k,#REF!,,,$120k,$120k,,,,$240k,
,,,,96137,Security Systems Upgrade,"5/12/16 Name changed from Security Cameras Improvement on Parking Lot, per JA. 2016 Cap $200k",6/23/16 Endorsed by PMT. 5/10/16 project moved above the line per IMPACT discussion. 4/14/16 Project cashflow updated according to latest estimates. 07/01/2015 SS submitted. ,Global,QSP,SHE and K-Directives,Exceptional Culture,,"Current security cameras will be obstructed with the installation of the new solar power panels and awnings, raising potential safety and security issues. Security cameras will be installed and tied in to the existing units in order to allow monitoring of the site more effectively. ",JPMT Appr,Deidre Dunham,TBD,Mel Davis,Juan Aragonez,,,,,,0.9,1.6,6.7,,,,$175k,,,,,,$175k,$175k,#REF!,,$200k,,,,,,$200k,
,,,,96139,Trash Bin Storm Water Mitigation,"12/10 renamed Trash bins storm water remediation.
Study done in 2015 $100k  funded by SHE. This is required to meet compliance due to changes introduced by the solar project.  This will be all capital and will be about 4-500K.  I don't have a scope sheet yet, but this definitely needs to get done next year due to a compliance issue with the City",03/17/16 Project moved above the line per AW. 7/16/2015 SS sumitted. ,Global,RTO,SHE and K-Directives,Exceptional Culture,,Regional Water Board and City of OCN regulation states the need for an approved SWMP. Genentech OCN does not have a documented plan in place. This project will Identify plan requirements. Subsequent activity to include detailed design and construction to implement site changes.Regulatory requirement.,FXNL LT Appr,Deidre Dunham,TBD,Mel Davis,Gary Merrill,,,,,,1.2,1,9.6,,,,,$200k,,,,,$200k,$200k,#REF!,,,$200k,,,,,$200k,
,,,,96143,Paperless Metone,$250k,07/01/2015 SS submitted. ,Global,CTT,Improvements and Efficiencies,ACCR,,"Improvements on data management and storage of Metone. Current system is unreliable and inefficient. Paperless system will upload results into LIMS and eliminate transcription error, use of paper and improve data storage. ",Hold,Scott Fields,TBD,TBD,Rick Learn ,,,,,,,,,,,,,,,,,,,$k,,,,,,,,,,
,,,Y160,65066,Appleton Tank Mover,,5/10/16 project moved above the line per IMPACT discussion. 11/12/15 Deferred until 2017. 11/02/15 Canceled as it is not needed for Actemra campaings. 10/15/10 CA Routing. ,Global,QSP,SHE and K-Directives,Highly Capable Workforce,,Significant risk is involved on moving heavy tanks manually.These movers will mitigate risk of injuries and allow more efficient evolution of moving freeze thaw tanks. ,Hold,Melanie Yevilov,Marcus Espinoza,Mel Davis,Marcus Espinoza,,,,,,1.1,0.5,8.9,,,,$73k,,,,,,$73k,$73k,,,$73k,,,,,,$73k,
,,,Y160,65021,Hazardous Material Response Cart,,02/22/16 Project moved above the line. ,Global,RTO,SHE and K-Directives,Highly Capable Workforce,,Site has committed to Performance Based Standards with the Fire Department and could be cited for non-compliance or failure to enforce stardards. Clean harbors is in need of a dedicated Hazardous Materials Response Cart to due the increased hours of emergency spill responjse. ,Execute,Melanie Yevilov,Marcus Espinoza,Mel Davis,Gary Merrill,,,,,,0.5,0.4,3.9,,,,$19k,,,,,,$19k,$19k,,,$18k,,,,,,$18k,
,,,Y160,64992,QC Osmometer Asset Replacement,,,Global,RTO,Stay in Business,Reliable,,This project is to replace two osmometers for QC in preparation of method transfer and testing for the new product coming into Oceanside manufacturing facility.The model installed in the lab has failed. Service was called and supplier (Advanced Instrument) has informed the model in the lab is obsoleted and beyond service. ,Execute,Jim Neeleman,TBD,TBD,Siu Fai Tsang,,,,,,N/A,N/A,N/A,,,,,,,,,,,$k,,,,,,,,,,
,,,Y160,64994,Helium Sniffer Replacement,,,Global,QSP,Stay in Business,Reliable,,"Helium sniffers are needed to ensure vessel integrity. Currently, there is one functional unit on loan from the vendor. Having two additional units will allow performance of helium testing quickly and provide a back up in case of failure.",Execute,Jim Neeleman,TBD,TBD,Chris LeTourneau,,,,,,,,,,,,,,,,,,,$k,,,,,,,,,,
,,,,96159,OCC Network Remediation,,,Global,TBD,Improvements and Efficiencies,Fit for Purpose,,,Idea,Zaymar Sedra ,TBD,TBD,Kelly Calderwell,,,,,,2.9,1,22.8,,,,$150k,,,,,,$150k,$150k,,,$150k,,,,,,$150k,
,,,,96163,MFG Depth Filter Housing,,,Global,TBD,Stay in Business,Reliability and Value,,,Idea,Zaymar Sedra ,TBD,TBD,Ed Montoya / Clarence Flowers,,,,,,,,,,,,,$400k,,,,,$400k,$400k,,,,$400k,,,,,$400k,
,,,,96164,Hazardous Materials Containers Washing Station,,"4/18/16 Project on Hold. Determined that the contractors who perform the cleaning would be using  a current wash roomt o perform this work and that project was not moved above the line, per Marc Espinoza.",Global,TBD,SHE and K-Directives,Highly Capable Workforce,,,Hold,Melanie Yevilov,TBD,Marcus Espinoza,Gary Merrill,,,,,,,,,,,,,$30k,,,,,$30k,$30k,,,,$30k,,,,,$30k,
,,,,96165,WAN Link Redundancy,Original estimate $2M.,6/27/16 Put on Hold due to lack of response from team and no SS.,Individual,TBD,Improvements and Efficiencies,Reliability and Value,,,Hold,Scott Fields,TBD,TBD,Kelly Calderwell,,,,,,2.1,2.3,14.1,,,,,"$2,000k",,,,,"$2,000k","$2,000k",,,,,,,,,,
,,,,96167,Emergency Generator High Level Alarm,,,Global,TBD,SHE and K-Directives,Reliability and Value,,,Idea,Melanie Yevilov,TBD,TBD,TBD,,,,,,,,,,,,$25k,,,,,,$25k,$25k,,,$25k,,,,,,$25k,
,,,,96168,Replace Warehouse #321 Sprinkler Heads,,,Global,TBD,SHE and K-Directives,Highly Capable Workforce,,,Idea,Melanie Yevilov,TBD,TBD,TBD,,,,,,,,,,,,$20k,,,,,,$20k,$20k,,,$20k,,,,,,$20k,
,,,Y160,65005,Analytical Scale,1/20/16 This project is asset replacement per ZS.,"03/17/16 Funded by Material Ops AR bucket, as per AW. 01/12/16 Project moved above the line per IMPACT discussion.",Global,QSP,New Technologies,Reliability and Value,,"Only one scale in the dispensary was capable of measuring weight in milligrams. With the current run rate, the analytical scale is constantly in use, both for Actemra and Rituxan. The current scale is broken and there is no secondary scale.",Execute,Scott Fields,TBD,TBD,Tyrone White,,,,,,,,,,,,$24k,,,,,,$24k,$24k,,,$24k,,,,,,$24k,
,,,Y160,65009,Drum Mover/Raw Material Tenderizer,,01/12/16 Project moved above the line per IMPACT discussion.,Global,CTT,SHE and K-Directives,Highly Capable Workforce,,This project will eliminate the unsafe work environment for employees because they will no longer need to lift drums or use the current raw material tenderizer which has been deemed unsafe. This machine can also be a solution for other sites across the network who are looking for the same solution.,Execute,Jim Neeleman,TBD,TBD,Tyrone White,,,,,,,,,,,,$34k,,,,,,$34k,$34k,,,$34k,,,,,,$34k,
,,,Y160,65020,QC Auto-Pipettor for Potency Assay,,03/05/16 Project moved into Execution. 02/22/16 Project added to portfolio. Funded by QC AR Bucket.,Global,CTT,SHE and K-Directives,Reliability and Value,,The auto-pipettor will be used for sample dilution in the new BaF cell line to replace manual pipetting to avoid any repetitive injury from manual pipetting.,Execute,Melanie Yevilov,TBD,TBD,Siu Fai Tsang,,,,,,,,,,,,$28k,,,,,,$28k,$28k,,,$28k,,,,,,$28k,
,,,Y160,65023,QC Plate Washer for Potency Assay,,03/05/16 Project moved into Execution. 02/22/16 Project added to portfolio. Funded by QC AR Bucket.,Global,CTT,New Technologies,Launch and Commercial Excellence,,"Etrolizumab will be starting the method transfer to Oceanside by SSF in Q1, 2016. This type of plate washer is unique for this assay with a 7 degree angle head to wash off cell during potency assay.",Execute,Jim Neeleman,TBD,TBD,Siu Fai Tsang,,,,,,,,,,,,$57k,,,,,,$57k,$57k,,,$57k,,,,,,$57k,
,,,Y160,65018,Spare Bowl for Hermetic Centrifuge,,02/12/16 Project added and moved above the line per IMPACT discussion.,Global,TBD,Improvements and Efficiencies,Fit for Purpose,,,Execute,Zaymar Sedra ,TBD,TBD,TBD,,,,,,,,,,,,$320k,,,,,,$320k,,,,$320k,,,,,,$320k,
,,,Y160,65015,Lower Solid Collector for Centrifuge,,02/11/16 Project added and moved above the line.,Global,TBD,Improvements and Efficiencies,Reliability and Value,,,Execute,Scott Fields,TBD,TBD,TBD,,,,,,,,,,,,$245k,,,,,,$245k,,,,$142k,,,,,,$142k,
,,,Y160,65024,Sci&Eng Lab Incubator and Freezer Asset Replacement,,"03/17/16 Funded by Engineering AR bucket, as per AW. 03/05/16 Project moved into Execution. 02/22/16 Project added to portfolio.",Global,TBD,Stay in Business,Launch and Commercial Excellence,,,Execute,Jim Neeleman,TBD,TBD,TBD,,,,,,,,,,,,$140k,$489k,,,,,$629k,,,,$129k,,,,,,$129k,
,,,,96169,Level Indicator Transmitters,,03/10/16 Project added to portfolio.,Global,TBD,New Technologies,Fit for Purpose,,"Need to replace the level indicator transmitters (LIT-004) on the following CIP systems, as the existing level indicators are obsolete and one is malfunctioning: 7110, 7210, 7150, 7160, and 7170. These systems impact multiple other systems, so it would be ideal to complete the replacement during shutdown. Replacing 7170 while up and running would be particularly difficult, if not impossible.",Idea,Zaymar Sedra ,TBD,TBD,John White,,,,,,,,,,,,$70k,,,,,,$70k,,,,$70k,,,,,,$70k,
,,,G160,74535,Draining of Top Mounted Agitator Well (CAPA 1140940),,"3/16/17 Project amount changed from $842,280 to $1M, as per AW.",Individual,RTO,Stay in Business,Reliability and Value,,To align with network commitment per the Multi-Site Assessment #1105078.,Execute,Jim Neeleman,TBD,John Urban,Juan Pacio,,,,,,,,,,,,$306k,$654k,,,,,$960k,,,,$306k,$654k,,,,,$960k,
,,,Y160,65044,Additional MCS Backup Storage,,"04/05/16 15K moved from Capital to Expense. 03/17/16 Funded by Engineering AR bucket, per AW. 03/15/16 Project added to portfolio and moved above the line.",Global,RTO,Improvements and Efficiencies,Reliability and Value,,"Currently, there is not enough backup capacity to perform system backup for MES at Oceanside. Data and system backup is a requirement as part of regulatory compliance.",Execute,Scott Fields,TBD,TBD,Michael Loh,,,,,,,,,,,,$62k,,,,,,$62k,,,,$62k,,,,,,$62k,
,,,Y160,65037,Analytical Scales (CAPA 1150248),,03/22/16 Project moved above Execution line. 03/16/16 Project added to portfolio and above the line.,Global,QSP,New Technologies,Reliability and Value,,"Only one scale in the dispensary was capable of measuring weight in milligrams. With the current run rate, the analytical scale is constantly in use, both for Actemra and Rituxan. The current scale is broken and there is no secondary scale.",Execute,Scott Fields,TBD,TBD,Tyrone White,,,,,,,,,,,,$24k,,,,,,$24k,,,,$24k,,,,,,$24k,
,,,,96174,Fall Protection Phase II,,03/17/16 Project added to portfolio and moved above the line.,Global,TBD,SHE and K-Directives,TBD,,,CA Routing,TBD,Marcus Espinoza,TBD,Marcus Espinoza,,,,,,0.5,1,3.6,,,,$135k,,,,,,$135k,,,,$130k,$5k,,,,,$135k,
,,,Y160,65040,Sci&Eng Cryofreezer,,03/17/16 Project added to portfolio and above the line. Funded by Engineering AR Bucket per AW.,Global,TBD,Stay in Business,Launch and Commercial Excellence,,,Execute,Jim Neeleman,TBD,TBD,TBD,,,,,,,,,,,,$20k,,,,,,$20k,,,,$20k,,,,,,$20k,
,,,,65048,Process Maintenance Boroscope,,"03/31/16 Project moved above the line. 03/28/16 Project funded by Engineering AR bucket, per AW. 03/25/16 Project added to portfolio.",Global,TBD,Stay in Business,Reliability and Value,,,Execute,Jim Neeleman,TBD,TBD,Dennis Chavez,,,,,,,,,,,,$37k,,,,,,$37k,,,,$35k,,,,,,$35k,
,,,,96177,Efficiency Projects,,,Global,TBD,Improvements and Efficiencies,Reliability and Value,,,Placeholder,Scott Fields,TBD,TBD,TBD,,,,,,,,60,,,,,"$3,000k","$3,000k","$3,000k","$3,000k","$3,000k","$15,000k",,,,,"$3,000k","$3,000k","$3,000k","$3,000k","$3,000k","$15,000k",
,,,,TBD,PAIR,,,Individual,TBD,Stay in Business,Reliability and Value,,,Execute,Scott Fields,TBD,TBD,Samuel Calhoun,,,,,,,,,,,,,,,,,,,,,,"$3,102k","$4,788k",,,,,"$7,891k",
MO5,,,,96178,Process VSD and SOV Replacement - Phase 2,Asset Replacement - CRB heavely driven ,10/26/15 Project rolled-over to 74487.,Individual,QSP,Stay in Business,Highly Capable Workforce,,Both SOV and VSD problem create a great risk to reliable operations. The 2016 SD is a window opportunity to perform some or all of the identified equipment replacements. ,Idea,Deidre Dunham,Tucker Creighton,Alister Hufton,Jonathan Clark ,,,,,No,N/A,N/A,N/A,0.09,,,,,"$2,500k","$3,000k",,,"$5,500k","$5,500k",#REF!,,,,"$2,500k","$3,000k",,,"$5,500k",
MO5,,,,96179,Process VSD and SOV Replacement - Phase 3,Asset Replacement - CRB heavely driven ,,Individual,QSP,Stay in Business,Highly Capable Workforce,,Both SOV and VSD problem create a great risk to reliable operations. The 2016 SD is a window opportunity to perform some or all of the identified equipment replacements. ,Idea,Deidre Dunham,Tucker Creighton,Alister Hufton,Jonathan Clark ,,,,,No,N/A,N/A,N/A,0.05,,,,,,$458k,"$5,000k","$5,000k","$10,458k","$10,458k",#REF!,,,,,$458k,"$5,000k",,"$5,458k",
,,,,96180,TMAC Waste System Improvements,SHE Identified Project on 5/9/16 - Dig up truck path to extend secondary containment to save offload time; Pierre recommends cancel due to ROI.,,Individual,CTT,Stay in Business,TBD,,,Hold,TBD,TBD,TBD,Pierre Luong,,,,,,,,,0.75,,,,"$1,500k",,,,,"$1,500k",,,,,"$1,500k",,,,,"$1,500k",
,,,,96181,Fall Protection Phase III,SHE Identified Project on 5/9/16,,Global,RTO,SHE and K-Directives,Highly Capable Workforce,,"OSHA standard 1900.66 App C states, ""Horizontal lifelines may, depending on their geometry and angle of sag, be subjected to greater loads than the impact load imposed by an attached component."" In order to meet the intent of the OSHA guidelines, the site needs to reduce the angle of horizontal lifelines as much as possible.",FXNL LT Appr,Melanie Yevilov,TBD,Marcus Espinoza,Marcus Espinoza,,,,,,1.8,0.6,15.1,,,,,$100k,,,,,$100k,,,,,$150k,,,,,$150k,
,,,,96183,Site Signage Upgrade,SHE Identified Project on 5/9/16,,Global,RTO,Stay in Business,TBD,,,Idea,TBD,TBD,TBD,TBD,,,,,,1.8,1.4,13.7,,,,,$200k,,,,,$200k,,,,,$200k,,,,,$200k,
,,,,96191,Utility and Process Safety System Phase 2,SHE Identified Project on 5/9/16 - Can't scope until Phase 1 is designed.,,Individual,RTO,Stay in Business,TBD,,,Idea,TBD,TBD,Mel Davis,Charles Fuller / Scott Breier,,,,,,2.6,3.8,13.3,,,,,"$2,000k",,,,,"$2,000k",,,,,"$2,000k",,,,,"$2,000k",
,,,,96193,Column Packing Fall Hazard,SHE Identified Project on 5/9/16,6/28/16 Canceled. Project duplicated. See Column Maintenance Platform Installation,Global,RTO,SHE and K-Directives,TBD,,,Canceled,TBD,TBD,TBD,TBD,,,,,,,,,,,,,$300k,,,,,$300k,,,,,,,,,,,
,,,,96201,Storm Water BMP for Upper Lot,SHE Identified Project on 5/9/16,,Global,RTO,Stay in Business,TBD,,,Idea,TBD,TBD,TBD,TBD,,,,,,,,,,,,,$200k,,,,,$200k,,,,,$200k,,,,,$200k,
,,,,96204,322 MRO Racks,SHE Identified Project on 5/9/16 - Not enough room to house spare parts if we reduce current racks to be 5ft or below; Pierre suggests vendor assessment of sprinkler system in MRO.,,Individual,RTO,SHE and K-Directives,TBD,,,Hold,TBD,TBD,TBD,Pierre Luong,,,,,,,,,,,,,$500k,,,,,$500k,,,,,$500k,,,,,$500k,
,,,,96207,Weigh and Dispense Sink (CAPA1123109),Submitted after MO5 on 5/9/16.,5/10/16 project moved above the line per IMPACT discussion and funded by Engineering AR bucket. 5/9/16 Project added to portfolio. 4/19/16 Submitted but not signed.,Global,RTO,Stay in Business,Reliability and Value,,To maintain our right to operate and supply to patients the facility must be operated per cGMP's and respond to regulatory agency findings. The EMA observation at SSF for hand washing was reviewed by Oceanside SME's and it was determined that Oceanside needed to make changse to avoid similar observation.,FXNL LT Appr,Scott Fields,TBD,Mel Davis,Joseph Semiklose,,,,,,,,,,,,$30k,,,,,,$30k,,,,$165k,,,,,,$165k,
,,,,65082,RF Sealer Generator,Submitted after MO5 on 5/11/16.,06/17/16 Project moved above the line. 05/11/16 Project added to portfolio.,Global,QSP,TBD,Reliability and Value,,MFG currently has one RF sealing generator that is shared by Media Prep and Buffer Prep.  Sharing of this unit reduces efficiency and the additional transportation and handling of this unit increases risk of malfuntion.  We currently don't have a backup unit in the case of malfunction. This project is needed to provide adequate dedicated resources to the areas.,Execute,Scott Fields,TBD,TBD,Mark Maruccia,,,,,,,,,,,,$17k,,,,,,$17k,,,,$22k,,,,,,$22k,
,,,,96208,Work Space Project,Identified by Kara Swedberg on 5/13/16.,,TBD,TBD,TBD,TBD,,,Idea,TBD,TBD,TBD,Kara Swedberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,96209,Harvest Depth Filter Installation Tool,SHE Identified Project on 6/20/16,,Global,QSP,New Technologies,Highly Capable Workforce,,"SHE JSA assessments have found that Depth Filter Installation activities are an ergonomic risk. Empployees are at risk for slips, trips, falls, and over exertion performing filter installation operations.",FXNL LT Appr,Melanie Yevilov,Marcus Espinoza,TBD,Marcus Espinoza,,,,,,1.8,0.6,15.1,,,,,,,,,,,,,,,$100k,,,,,$100k,
,,,,96210,P2 User Furnished Equipment Procurement,Project Identified by Alister Hufton on 6/21/16.,,Individual,CTT,TBD,TBD,,This project directly impacts Oceanside's Contribution to Target for its ability to manufacture Etro.,FXNL LT Appr,TBD,TBD,Alister Hufton,Ben Chmielewski,,,,,,1.4,2.3,9,,,,,,,,,,,,,,"$1,100k","$1,100k",,,,,"$2,200k",
,,,,96211,Replacement of Swedgelok Fitting of N2 Gas Piping of U-4000 Skid with Sanitary Fitting,Project Identified by Bahar Dahi on 6/22/16.,,Individual,QSP,Improvements and Efficiencies,Reliability and Value,,This fitting should have been installed from the beginning.,FXNL LT Appr,Scott Fields,TBD,TBD,Bahar Dahi,,,,,,1.8,1.6,20,,,,,,,,,,,,,,,"$1,000k",,,,,"$1,000k",
,,,,96212,Replacement of Back Pressure Control Valve on Formulation Skid U-4000,Project Identified by Bahar Dahi on 6/22/16.,,Individual,QSP,Improvements and Efficiencies,Reliability and Value,,The proper functionality of Back Pressure Control Valve is essential for the UF operation.,FXNL LT Appr,Scott Fields,TBD,TBD,Bahar Dahi,,,,,,2.7,2.4,17.8,,,,,,,,,,,,,,,$550k,,,,,$550k,
,,,,96213,Replacement of Obsolete Benchtop Horiba pH Meter,Project Identified by Bahar Dahi on 6/22/16.,,Individual,QSP,Improvements and Efficiencies,Fit for Purpose,,Actemra will be run at OCN through 2020.,FXNL LT Appr,Zaymar Sedra ,TBD,TBD,Bahar Dahi,,,,,,1.7,2.7,10.4,,,,,,,,,,,,,,,"$1,200k",,,,,"$1,200k",
,,,,96215,20L Bioreactors and NovaFlex Analyzer,,,Global,QSP,Tech Transfers,Fit for Purpose,,This equipment applied to OLP small scale and pilot scale studies will ensure successful current and future tech transfers with a potential of reducing large scale ER/QRs.,FXNL LT Appr,Zaymar Sedra ,TBD,TBD,Fikret Kulenovic,,,,,,2.7,1.6,20,,,,,,,,,,,,,,$450k,,,,,,$450k,
,,,,96216,Frit Handling and Storage Phase 2,,6/21/16 IMPACT approved second phase. ,Global,QSP,Tech Transfers,Highly Capable Workforce,A2 Business Efficiency,"The current system has some inefficiency: a) the storage does not segregate the frits based on product b) the frit handling requires four people, and c) there is not enough space inside column packing. On the contrary, the new handling and storage methods greatly reduce footprint, increase frit protection, eliminates risk for injury and personnel needed for frit replacement.",FXNL LT Appr,TBD,TBD,TBD,TBD,,,,,,2.4,0.6,20.2,,,,,,,,,,,,,,,,,,,,,
,,,,96217,Pallet Wrapper,,,Global,QSP,Improvements and Efficiencies,Highly Capable Workforce,,This project is necessary to enable efficient operation in the warehouse.,FXNL LT Appr,Melanie Yevilov,TBD,Marcus Espinoza,George Groza,,,,,,1.4,0.4,11.6,,,,,,,,,,,,,,,$50k,,,,,$50k,
,,,,96218,Column Maintenance Platform Installation,,,Global,RTO,Improvements and Efficiencies,Highly Capable Workforce,,"Based on JSA results, a high level of risk for slips, trips, and falls exists with this activity. Currently, the site is at risk for employee injury and an OHSA Recordable event.",FXNL LT Appr,Melanie Yevilov,TBD,Marcus Espinoza,Marcus Espinoza,,,,,,1.8,1.6,13.3,,,,,,,,,,,,,,$75k,$100k,,,,,$175k,
,,,,96219,Harvest Filter Housing A Removal/Installation Improvements,,,Individual,QSP,Improvements and Efficiencies,Highly Capable Workforce,,"Based on JSA results, a high level of risk for injury is present. Should the employee lose contrl of the suspended load they could be severely injured. The result of an incident could result in an OSHA recordable incident and also impact production opereations.",FXNL LT Appr,Melanie Yevilov,TBD,Marcus Espinoza,Marcus Espinoza,,,,,,1.8,0.6,15.1,,,,,,,,,,,,,,,$500k,,,,,$500k,
,,,,96220,400L Mixing Vessel,,,Global,QSP,Improvements and Efficiencies,Launch and Commercial Excellence,,"Firstly, this project will avoid the need for disruptive at-scale mixing studies during the engineering runs. And, it is most important that the engineering runs have as few issues as possible so they can serve as a reliable prediction of performance of the qualification runs. This is very important: the Etrolizumab campaign is proposing to have 5 qualification runs - less than in the past product transfers to OCN.
Secondly, this tank will permit cleaning cycles to be tested during cleaning validation. And, such issues can contribute to the complexity of qualification runs. A thorough product license application has cleaning validation complete during the qualification runs.
It is anticipated the cost of the tank will enable saving in cleaning validation time & resource and will increase the effectiveness of the engineering runs. This almost certainly contributes to lowering the risk of requireing an additional qualification run.",FXNL LT Appr,Jim Neeleman,TBD,TBD,Ken Hamilton,,,,,,2.4,1.8,17.3,,,,,,,,,,,,,,$340k,$62k,,,,,$402k,
,,,,96221,Corrosive Chemical Compliance - CUB and Warehouse,,,Individual,RTO,SHE and K-Directives,Reliability and Value,,To meet control and monitoring requirements as requested by the Oceanside Fire Department.,FXNL LT Appr,Scott Fields,TBD,Mel Davis,Susan Schmidt,,,,,,6.6,3.9,34,,,,,,,,,,,,,,,"$2,900k",$20k,,,,"$2,920k",
,,,,96222,Pressure Safety Program - Mechanical,,,Individual,RTO,SHE and K-Directives,Highly Capable Workforce,,,FXNL LT Appr,Melanie Yevilov,Marcus Espinoza,Mel Davis,Nick Loebs,,,,,,3.8,4,18.8,,,,,,,,,,,,,,,"$2,000k",,,,,"$2,000k",
,,,,96223,Pressure Safety Program - Automation,,,Individual,RTO,SHE and K-Directives,Highly Capable Workforce,,,FXNL LT Appr,Melanie Yevilov,Marcus Espinoza,Mel Davis,Nick Loebs,,,,,,2.7,4.8,11.3,,,,,,,,,,,,,,,,"$2,500k",,,,"$2,500k",
