Budget Time ,globalType,Deprec CC,Prefix,projectNo,projectTitle,Comments ,Approval / Changes Notes ,creditType ,businessDriver,category,Program ,Factor,businessCase,Status,SPPM,CRB,PD,SME,Approved CAs,Capital,Expense ,Oustand CA? (Y/N),Carry over 2016,"Benefit 
P-Score","Cost/ Effort 
P-Score",Overall P-Score,Total RR 2016,Expend.,2014,2016,2017,2018,2019,2020,2021,TOTAL,Total Estimated Proj. Cost,2014,2016,2017,2018,2019,2020,2021,Total Current Estimate ,Total Estimated Proj. Cost
T3,,,,96116,PCS Process Support Equipment Integration,,,Individual,QSP,Improvements and Efficiencies,TBD,A1 Automation Improvement,,Idea,TBD,TBD,Alister Hufton,Sarah Maruccia,,,,,,,,$k,,,,"$1,500k","$1,500k",,,"$3,000k","$3,000k",#REF!,,,"$1,500k","$1,500k",,,"$3,000k",,,
,,1586,G160,96117,MCS Manufacturing Area Wireless Access Point Asset Replacement - 2019,,,Global,QSP,Life Cycle Mgmt,Fit for Purpose,,,Budgeted,Zaymar Sedra,TBD,TBD,Myles Sumlin,,,,N/A,N/A,N/A,,$k,,,,,,$440k,,$440k,$440k,#REF!,,,,,$440k,,$440k,,,
,,,B160,74559,Perjeta Tech Transfer,,,Start-up,QSP,Tech Transfers,Launch and Commercial Excellence,,,Budgeted,Jim Neeleman,N/A,TBD,Ching Lee,,,,,,60,,$k,,,"$8,941k","$78,779k","$1,431k",$369k,$79k,"$89,600k","$89,600k",#REF!,,"$8,941k","$78,779k","$1,431k",$369k,$79k,"$89,600k",,,
,,,,96125,Flu A  TechTransfer,,,Start-up,QSP,Tech Transfers,Launch and Commercial Excellence,,,Budgeted,Jim Neeleman,N/A,TBD,Semsi Ensari,,,,,,,,$k,,,,,"$8,941k","$31,170k","$1,431k","$41,542k","$41,542k",#REF!,,,,"$8,941k","$31,170k","$1,431k","$41,542k",,,
,,,,96126,Flu B Tech Transfer,,,Start-up,QSP,Tech Transfers,Launch and Commercial Excellence,,,Budgeted,Jim Neeleman,N/A,TBD,Semsi Ensari,,,,,,,,$k,,,,,,"$8,941k","$28,753k","$37,694k","$37,694k",#REF!,,,,,"$8,941k","$28,753k","$37,694k",,,
,,659,G160,74546,Mezzanine Safety Shower/Eye Wash Station Install,,5/26/16 cash flow updated from PMT presentation. 5/10/16 project moved above the line per IMPACT discussion. 07/01/2015 SS submitted. ,Individual,RTO,SHE and K-Directives,Highly Capable Workforce,,Cal/OSHA requires that Safety  Showers / Eye Wash stations be within 55' or 10 secs. Currently Manufacturing is using a Manual Liuid Add Process which presents a risk hazardous materials coming into contact with employees.,Execute 1,Melanie Yevilov,Marcus Espinoza,Mel Davis,Nick Loebs,$76k,$76k,,0.5,2.5,2.9,,$k,,$100k,$700k,,,,,$800k,$800k,#REF!,$100k,$700k,,,,,$800k,,,
,,,,96133,QC Rapid Scan RDI System,"2016 $210,000",07/01/2015 SS submitted. ,Global,QSP,New Technologies,Launch and Commercial Excellence,,Install and qualify Rapid Scan RDI System for GMP use in QC Lab. This is a global effort to harmonize Rapid Bioburden equipment to test pre filtration media that can measure and detect small measures of bioburden. ,Hold,Jim Neeleman,N/A,N/A,Siu Fai Tsang,,,,2.3,2.2,15.3,,$k,,,$210k,,,,,$210k,$210k,#REF!,,$210k,,,,,$210k,,,
,,,,96135,QC Spectrophotometers,"2016 $327,522",6/2/16 Canceled. Project duplicated. See 64925 07/01/2015 SS submitted. ,Global,QSP,Improvements and Efficiencies,N/A,,Install and qualify spectrophometers for GMP use in QC Lab to maintain and fast pace on testing for potency assay and reduce risk of job injuries for repetitive motion. ,Canceled,N/A,N/A,N/A,N/A,,,,1.8,1,14.4,,$k,,,,,,,,,$k,#REF!,,,,,,,#VALUE!,,,
,,,,96136,V-3007 Replacement,4/19/16 SPPM to assess business case prior to T3 updates. 10/05/15 Project being evaluated to dfetermine if it can be done before S/D. ,07/01/2015 SS submitted. ,Global,QSP,Life Cycle Mgmt,Fit for Purpose,,TMAC vessel has been determined to have corrosion and needs to be replaced. Upsizing the pumps and piping for offloading is required to shorten the TMAC waste transfer period. This project is needed to maintain out TMAC system in a reliable and efficient operational state. TMAC vessel is needed for Rituxan. P2 tie-in associated with this vessel.,FXNL LT Appr,Zaymar Sedra,TBD,Mel Davis,Pierre Luong,,,,N/A,N/A,N/A,,$k,,,$120k,$120k,,,,$240k,$240k,#REF!,,$120k,$120k,,,,$240k,,,
,,1233,G160,73465,Security Systems Upgrade,"5/12/16 Name changed from Security Cameras Improvement on Parking Lot, per JA. 2016 Cap $200k",7/28/16 CA Appr. 7/19/16 CA Submitted. 6/23/16 Endorsed by PMT. 5/10/16 project moved above the line per IMPACT discussion. 4/14/16 Project cashflow updated according to latest estimates. 07/01/2015 SS submitted. ,Global,QSP,SHE and K-Directives,Exceptional Culture,,"Current security cameras will be obstructed with the installation of the new solar power panels and awnings, raising potential safety and security issues. Security cameras will be installed and tied in to the existing units in order to allow monitoring of the site more effectively. ",Execute,Deidre Dunham,Marcus Espinoza,Mel Davis,Juan Aragonez,,,,0.9,1.6,6.7,,$k,,$202k,,,,,,$202k,$202k,#REF!,$200k,,,,,,$200k,,,
,,,,96139,Trash Bin Storm Water Mitigation,"12/10 renamed Trash bins storm water remediation.
Study done in 2015 $100k  funded by SHE. This is required to meet compliance due to changes introduced by the solar project.  This will be all capital and will be about 4-500K.  I don't have a scope sheet yet, but this definitely needs to get done next year due to a compliance issue with the City",03/17/16 Project moved above the line per AW. 7/16/2015 SS sumitted. ,Global,RTO,SHE and K-Directives,Exceptional Culture,,Regional Water Board and City of OCN regulation states the need for an approved SWMP. Genentech OCN does not have a documented plan in place. This project will Identify plan requirements. Subsequent activity to include detailed design and construction to implement site changes.Regulatory requirement.,FXNL LT Appr,Deidre Dunham,TBD,Mel Davis,Gary Merrill,,,,1.2,1,9.6,,$k,,$50k,$150k,,,,,$200k,$200k,#REF!,$50k,$150k,,,,,$200k,,,
,,,,96143,Paperless Metone,$250k,07/01/2015 SS submitted. ,Global,CTT,Improvements and Efficiencies,TBD,,"Improvements on data management and storage of Metone. Current system is unreliable and inefficient. Paperless system will upload results into LIMS and eliminate transcription error, use of paper and improve data storage. ",Hold,TBD,TBD,TBD,Rick Learn ,,,,,,,,$k,,,,,,,,,$k,,,,,,,,,,,
,,1234,Y160,65066,Appleton Tank Mover,,5/10/16 project moved above the line per IMPACT discussion. 11/12/15 Deferred until 2017. 11/02/15 Canceled as it is not needed for Actemra campaings. 10/15/10 CA Routing. ,Global,QSP,SHE and K-Directives,Highly Capable Workforce,,Significant risk is involved on moving heavy tanks manually.These movers will mitigate risk of injuries and allow more efficient evolution of moving freeze thaw tanks. ,Execute,Melanie Yevilov,Marcus Espinoza,Mel Davis,Marcus Espinoza,$73k,$73k,,1.1,0.5,8.9,,$k,,$73k,,,,,,$73k,$73k,,$73k,,,,,,$73k,,,
,,1234,Y160,65021,Hazardous Material Response Cart,,02/22/16 Project moved above the line. ,Global,RTO,SHE and K-Directives,Highly Capable Workforce,,Site has committed to Performance Based Standards with the Fire Department and could be cited for non-compliance or failure to enforce stardards. Clean harbors is in need of a dedicated Hazardous Materials Response Cart to due the increased hours of emergency spill responjse. ,Execute,Melanie Yevilov,Marcus Espinoza,Mel Davis,Gary Merrill,$18k,$18k,,0.5,0.4,3.9,,$k,,$18k,,,,,,$18k,$18k,,$18k,,,,,,$18k,,,
,,583,Y160,64992,QC Osmometer Asset Replacement,,,Global,RTO,Stay in Business,Fit for Purpose,,This project is to replace two osmometers for QC in preparation of method transfer and testing for the new product coming into Oceanside manufacturing facility.The model installed in the lab has failed. Service was called and supplier (Advanced Instrument) has informed the model in the lab is obsoleted and beyond service. ,Execute,Zaymar Sedra,N/A,N/A,Siu Fai Tsang,$25k,$25k,,N/A,N/A,N/A,,$k,,,,,,,,,$k,,,,,,,,,,,
,,659,Y160,64994,Helium Sniffer Replacement,,,Global,QSP,Stay in Business,Fit for Purpose,,"Helium sniffers are needed to ensure vessel integrity. Currently, there is one functional unit on loan from the vendor. Having two additional units will allow performance of helium testing quickly and provide a back up in case of failure.",Execute,Zaymar Sedra,TBD,TBD,Chris LeTourneau,$26k,$26k,,N/A,N/A,N/A,,$k,,,,,,,,,$k,,$33k,,,,,,$33k,,,
,,,,96159,OCC Network Remediation,,,Global,TBD,Improvements and Efficiencies,Fit for Purpose,,,Hold,Zaymar Sedra,TBD,TBD,Kelly Calderwell,,,,2.9,1,22.8,,$k,,$150k,,,,,,$150k,$150k,,$150k,,,,,,$150k,,,
,,,,96163,MFG Depth Filter Housing,,Duplicated,Global,TBD,Stay in Business,N/A,,,Canceled,N/A,N/A,N/A,N/A,,,,1.8,0.6,15.1,,$k,,,,,,,,,$k,,,,,,,,,,,
,,,,96164,Hazardous Materials Containers Washing Station,,"4/18/16 Project on Hold. Determined that the contractors who perform the cleaning would be using  a current wash roomt o perform this work and that project was not moved above the line, per Marc Espinoza.",Global,TBD,SHE and K-Directives,Highly Capable Workforce,,,Hold,Melanie Yevilov,TBD,Marcus Espinoza,Gary Merrill,,,,,,,,$k,,,,,,,,,$k,,,,,,,,,,,
,,,,96165,WAN Link Redundancy,Original estimate $2M.,6/27/16 Put on Hold due to lack of response from team and no SS.,Individual,TBD,Improvements and Efficiencies,Reliability and Value,,,Hold,Scott Fields,TBD,TBD,Kelly Calderwell,,,,2.1,2.3,14.1,,$k,,,,,,,,,$k,,,,,,,,,,,
,,,,96167,Emergency Generator High Level Alarm,,,Global,TBD,SHE and K-Directives,N/A,,,Canceled,N/A,N/A,N/A,N/A,,,,,,,,$k,,,,,,,,,$k,,,,,,,,,,,
T3,,,,96168,Replace Warehouse #321 Sprinkler Heads,,,Global,TBD,SHE and K-Directives,Highly Capable Workforce,,,Idea,Melanie Yevilov,TBD,TBD,TBD,,,,,,,,$k,,$20k,,,,,,$20k,$20k,,$20k,,,,,,$20k,,,
,,484,Y160,65005,Analytical Scale,1/20/16 This project is asset replacement per ZS.,"03/17/16 Funded by Material Ops AR bucket, as per AW. 01/12/16 Project moved above the line per IMPACT discussion.",Global,QSP,New Technologies,Reliability and Value,,"Only one scale in the dispensary was capable of measuring weight in milligrams. With the current run rate, the analytical scale is constantly in use, both for Actemra and Rituxan. The current scale is broken and there is no secondary scale.",Execute,Scott Fields,N/A,N/A,Siu Fai Tsang,$24k,$24k,,,,,,$k,,$24k,,,,,,$24k,$24k,,$24k,,,,,,$24k,,,
,,484,Y160,65009,Drum Mover/Raw Material Tenderizer,,01/12/16 Project moved above the line per IMPACT discussion.,Global,CTT,SHE and K-Directives,Highly Capable Workforce,,This project will eliminate the unsafe work environment for employees because they will no longer need to lift drums or use the current raw material tenderizer which has been deemed unsafe. This machine can also be a solution for other sites across the network who are looking for the same solution.,Execute,Melanie Yevilov,N/A,Alister Hufton,Richard Dimler,$34k,$34k,,,,,,$k,,$34k,,,,,,$34k,$34k,,$34k,,,,,,$34k,,,
,,583,Y160,65020,QC Auto-Pipettor for Potency Assay,,03/05/16 Project moved into Execution. 02/22/16 Project added to portfolio. Funded by QC AR Bucket.,Global,CTT,SHE and K-Directives,Reliability and Value,,The auto-pipettor will be used for sample dilution in the new BaF cell line to replace manual pipetting to avoid any repetitive injury from manual pipetting.,Execute,Scott Fields,N/A,N/A,Siu Fai Tsang,$30k,$30k,,,,,,$k,,$28k,,,,,,$28k,$28k,,$28k,,,,,,$28k,,,
,,583,Y160,65023,QC Plate Washer for Potency Assay,,03/05/16 Project moved into Execution. 02/22/16 Project added to portfolio. Funded by QC AR Bucket.,Global,CTT,New Technologies,Launch and Commercial Excellence,,"Etrolizumab will be starting the method transfer to Oceanside by SSF in Q1, 2016. This type of plate washer is unique for this assay with a 7 degree angle head to wash off cell during potency assay.",Execute,Jim Neeleman,N/A,N/A,Siu Fai Tsang,$60k,$60k,,,,,,$k,,$57k,,,,,,$57k,$57k,,$57k,,,,,,$57k,,,
,,1359,Y160,65018,Spare Bowl for Hermetic Centrifuge,,02/12/16 Project added and moved above the line per IMPACT discussion.,Global,TBD,Improvements and Efficiencies,Fit for Purpose,,"Purchase of critical spare bowl for new hermetic centrifuge being installed for NMEs.The unit we are procuring is the Alfa Laval model CF-400, Culturefuge. This model was selected as the network standard by the Harvest UOT in the last  years based on a best practice exercise. This is the first standard unit that is procured, and this spare can be shared with the Network. ",Execute,Zaymar Sedra,N/A,N/A,Dirk Ellison,$320k,$320k,,,,,,$k,,$320k,,,,,,$320k,,,$320k,,,,,,$320k,,,
,,659,Y160,65015,Lower Solid Collector for Centrifuge,,02/11/16 Project added and moved above the line.,Global,TBD,Improvements and Efficiencies,Reliability and Value,,The scope of this project is to procure a critical spare part for the Westfalia centrifuge due to a catatrophic failure.  The specic critical spare part is the lower solids collector on the Westfalia CSD-130 machine.  ,Execute,Scott Fields,N/A,N/A,Scott Klemme,$245k,$245k,,,,,,$k,,$142k,,,,,,$142k,,,$142k,,,,,,$142k,,,
,,1198,Y160,65024,Sci&Eng Lab Incubator and Freezer Asset Replacement,,"03/17/16 Funded by Engineering AR bucket, as per AW. 03/05/16 Project moved into Execution. 02/22/16 Project added to portfolio.",Global,TBD,Stay in Business,Launch and Commercial Excellence,,Science and Engineering Cell Culture Lab is purchasing 2 Kuhner incubators and 2 Stirling freezers to replace failed equipment.,Execute,Jim Neeleman,N/A,N/A,TBD,$140k,$140k,,,,,,$k,,$129k,,,,,,$129k,,,$129k,,,,,,$129k,,,
,,,,96169,Level Indicator Transmitters,,7/20/16 Put on hold due to lack of I&C Governance Team endorsement. 03/10/16 Project added to portfolio.,Global,TBD,New Technologies,Fit for Purpose,,"Need to replace the level indicator transmitters (LIT-004) on the following CIP systems, as the existing level indicators are obsolete and one is malfunctioning: 7110, 7210, 7150, 7160, and 7170. These systems impact multiple other systems, so it would be ideal to complete the replacement during shutdown. Replacing 7170 while up and running would be particularly difficult, if not impossible.",Hold,Zaymar Sedra,TBD,TBD,Bahar Dahi,,,,,,,,$k,,$70k,,,,,,$70k,,,$70k,,,,,,$70k,,,
,,1198,G160,74535,Draining of Top Mounted Agitator Well (CAPA 1140940),,"3/16/17 Project amount changed from $842,280 to $1M, as per AW.",Individual,RTO,Stay in Business,Reliability and Value,,To align with network commitment per the Multi-Site Assessment #1105078.,Execute,Scott Fields,John Urban,Alister Hufton,Juan Pacio,$960k,$960k,$k,1.8,1.6,13.3,,$k,,$306k,$654k,,,,,$960k,,,$306k,$654k,,,,,$960k,,,
,,1586,Y160,65044,Additional MCS Backup Storage,,"04/05/16 15K moved from Capital to Expense. 03/17/16 Funded by Engineering AR bucket, per AW. 03/15/16 Project added to portfolio and moved above the line.",Global,RTO,Improvements and Efficiencies,Reliability and Value,,"Currently, there is not enough backup capacity to perform system backup for MES at Oceanside. Data and system backup is a requirement as part of regulatory compliance.",Execute,Scott Fields,John Urban,Alister Hufton,Michael Loh,$62k,$62k,,,,,,$k,,$62k,,,,,,$62k,,,$62k,,,,,,$62k,,,
,,484,Y160,65037,Analytical Scales (CAPA 1150248),,03/22/16 Project moved above Execution line. 03/16/16 Project added to portfolio and above the line.,Global,QSP,New Technologies,Reliability and Value,,"Only one scale in the dispensary was capable of measuring weight in milligrams. With the current run rate, the analytical scale is constantly in use, both for Actemra and Rituxan. The current scale is broken and there is no secondary scale.",Execute,Scott Fields,N/A,N/A,Richard Dimler,$24k,$24k,,N/A,N/A,N/A,,$k,,$24k,,,,,,$24k,,,$24k,,,,,,$24k,,,
,,659,G160,73460,Fall Protection Phase II,,7/20/16 WBS received. 03/17/16 Project added to portfolio and moved above the line.,Global,TBD,SHE and K-Directives,Exceptional Culture,,Project will mitigate the current fall risks associated with each CAPA item. CAPA will also be closed out with the completion of the project. Employees will benefit from the improved safety enviornment and the Site's Safety Culture will  be reinforced by the addition of these Fall Protection items. ,Execute,Deidre Dunham,Marcus Espinoza,TBD,Marcus Espinoza,$135k,$135k,,0.5,1,3.6,,$k,,$130k,$5k,,,,,$135k,,,$130k,$5k,,,,,$135k,,,
,,1198,Y160,65040,Sci&Eng Cryofreezer,,03/17/16 Project added to portfolio and above the line. Funded by Engineering AR Bucket per AW.,Global,TBD,Stay in Business,Launch and Commercial Excellence,,"The new cryofreezer will allow S&E to store development vials, supporting MFG by screening Actemra Hyfish lots and running the Etrolizumab tech transfer.",Execute,Jim Neeleman,N/A,N/A,Eugene Chen,$23k,$23k,,N/A,N/A,N/A,,$k,,$20k,,,,,,$20k,,,$20k,,,,,,$20k,,,
,,1236,Y160,65048,Process Maintenance Boroscope,,"03/31/16 Project moved above the line. 03/28/16 Project funded by Engineering AR bucket, per AW. 03/25/16 Project added to portfolio.",Global,TBD,Stay in Business,Reliability and Value,,Boroscope will be used for th PAIR project post isntallation for pipe inspections to aditefy anomalies. Current boroscope is not operational and I obsolete including replacements parts. ,Execute,Scott Fields,N/A,N/A,Dennis Chavez,$38k,$38k,,N/A,N/A,N/A,,$k,,$35k,,,,,,$35k,,,$35k,,,,,,$35k,,,
,,,,96177,Productivity Projects,,,Global,TBD,Improvements and Efficiencies,Reliability and Value,,,Placeholder,Scott Fields,TBD,TBD,TBD,,,,,,60,,$k,,,"$3,000k","$3,000k","$3,000k","$3,000k","$3,000k","$15,000k",,,,"$3,000k","$3,000k","$3,000k","$3,000k","$3,000k","$15,000k",,,
T3,,,,96178,Process VSD and SOV Replacement - Phase 2,Asset Replacement - CRB heavely driven ,10/26/15 Project rolled-over to 74487.,Individual,QSP,Stay in Business,Highly Capable Workforce,,Both SOV and VSD problem create a great risk to reliable operations. The 2016 SD is a window opportunity to perform some or all of the identified equipment replacements. ,Budgeted,Melanie Yevilov,Tucker Creighton,Alister Hufton,Jonathan Clark ,,,,N/A,N/A,N/A,,$k,,,,"$2,500k","$3,000k",,,"$5,500k","$5,500k",#REF!,,,"$2,500k","$3,000k",,,"$5,500k",,,
T3,,,,96179,Process VSD and SOV Replacement - Phase 3,Asset Replacement - CRB heavely driven ,,Individual,QSP,Stay in Business,Highly Capable Workforce,,Both SOV and VSD problem create a great risk to reliable operations. The 2016 SD is a window opportunity to perform some or all of the identified equipment replacements. ,Budgeted,Melanie Yevilov,Tucker Creighton,Alister Hufton,Jonathan Clark ,,,,N/A,N/A,N/A,,$k,,,,,$458k,"$5,000k",,"$5,458k","$5,458k",#REF!,,,,$458k,"$5,000k",,"$5,458k",,,
,,,,96180,TMAC Waste System Improvements,SHE Identified Project on 5/9/16 - Dig up truck path to extend secondary containment to save offload time; Pierre recommends cancel due to ROI.,,Individual,CTT,Stay in Business,TBD,,,Hold,TBD,TBD,TBD,Pierre Luong,,,,,,,,$k,,,,,,,,,,,,,,,,,,,,
,,,,96181,Fall Protection Phase III,SHE Identified Project on 5/9/16,,Global,RTO,SHE and K-Directives,Highly Capable Workforce,,"OSHA standard 1900.66 App C states, ""Horizontal lifelines may, depending on their geometry and angle of sag, be subjected to greater loads than the impact load imposed by an attached component."" In order to meet the intent of the OSHA guidelines, the site needs to reduce the angle of horizontal lifelines as much as possible.",FXNL LT Appr,Melanie Yevilov,Marcus Espinoza,Marcus Espinoza,Marcus Espinoza,,,,1.8,0.6,15.1,,$k,,,$150k,,,,,$150k,,,,$150k,,,,,$150k,,,
,,,,96183,Site Signage Upgrade,SHE Identified Project on 5/9/16,7/18/19 Change to SS submitted. ,Global,RTO,Stay in Business,Highly Capable Workforce,,"Site sinane throughout the entire site has been identified as needing to be upgraded,. Identifications were made during CESA audits. Project intends to remediateaudit findings. ",FXNL LT Appr,Melanie Yevilov,Marcus Espinoza,Mel Davis,Marcus Espinoza,,,,1.8,1.4,13.7,,$k,,,$200k,,,,,$200k,,,,$200k,,,,,$200k,,,
,,,L160,74558,Utility and Process Safety System Phase 2,SHE Identified Project on 5/9/16 - Can't scope until Phase 1 is designed.,7/18/19 Change to SS submitted. ,Individual,RTO,Stay in Business,Highly Capable Workforce,,"Project to address gaps with annual Fire Department system tests, implement continuous monitoring of existing TMAC and CCC Phase2 systems. ",FXNL LT Appr,Melanie Yevilov,TBD,Mel Davis,Charles Fuller / Scott Breier,,,,2.6,3.8,13.3,,$k,,,"$2,000k",,,,,"$2,000k",,,,"$2,000k",,,,,"$2,000k",,,
,,,,96193,Column Packing Fall Hazard,SHE Identified Project on 5/9/16,6/28/16 Canceled. Project duplicated. See Column Maintenance Platform Installation,Global,RTO,SHE and K-Directives,N/A,,,Canceled,N/A,N/A,N/A,N/A,,,,,,,,$k,,,,,,,,,,,,,,,,,,,,
,,,,96201,Storm Water BMP for Upper Lot,SHE Identified Project on 5/9/16,,Global,RTO,Stay in Business,TBD,,,Idea,TBD,Marcus Espinoza,Mel Davis,Marcus Espinoza,,,,,,,,$k,,,$200k,,,,,$200k,,,,$200k,,,,,$200k,,,
,,,,96204,322 MRO Racks,SHE Identified Project on 5/9/16 - Not enough room to house spare parts if we reduce current racks to be 5ft or below; Pierre suggests vendor assessment of sprinkler system in MRO.,,Individual,RTO,SHE and K-Directives,TBD,,,Hold,TBD,TBD,TBD,Pierre Luong,,,,,,,,$k,,,,,,,,,,,,,,,,,,,,
,,,,96207,Weigh and Dispense Sink (CAPA 1123109),Submitted after MO5 on 5/9/16.,7/26/16 IMPACT endorsed this project and no need to come to present for this Planning phase as it is only $36k and it is a CAPA. 7/21/16 PMT endorsed. 5/10/16 project moved above the line per IMPACT discussion and funded by Engineering AR bucket. 5/9/16 Project added to portfolio. 4/19/16 Submitted but not signed.,Global,RTO,Stay in Business,Reliability and Value,,CAPA 1123109. To maintain our right to operate and supply to patients the facility must be operated per cGMP's and respond to regulatory agency findings. The EMA observation at SSF for hand washing was reviewed by Oceanside SME's and it was determined that Oceanside needed to make changse to avoid similar observation.,JPMT Appr,Scott Fields,Jim Koons,Mel Davis,Joseph Semiklose,,,,,,60,,$k,,$165k,,,,,,$165k,,,$200k,,,,,,$200k,,,
,,659,Y160,65082,RF Sealer Generator,Submitted after MO5 on 5/11/16.,06/17/16 Project moved above the line. 05/11/16 Project added to portfolio.,Global,QSP,TBD,Reliability and Value,,MFG currently has one RF sealing generator that is shared by Media Prep and Buffer Prep.  Sharing of this unit reduces efficiency and the additional transportation and handling of this unit increases risk of malfuntion.  We currently don't have a backup unit in the case of malfunction. This project is needed to provide adequate dedicated resources to the areas.,Execute,Scott Fields,N/A,Mel Davis,Mark Maruccia,$22k,$22k,,N/A,N/A,N/A,,$k,,$22k,,,,,,$22k,,,$22k,,,,,,$22k,,,
,,,,96209,Harvest Depth Filter Installation Tool,SHE Identified Project on 6/20/16,8/11/16 CA submitted. ,Global,QSP,New Technologies,Highly Capable Workforce,,"SHE JSA assessments have found that Depth Filter Installation activities are an ergonomic risk. Empployees are at risk for slips, trips, falls, and over exertion performing filter installation operations.",CA Routing,Melanie Yevilov,Marcus Espinoza,Mel Davis,Marcus Espinoza,,,,1.8,0.6,15.1,,$k,,$100k,,,,,,$100k,,,$109k,,,,,,$109k,,,
,,,L160,74551,P2 User Furnished Equipment Procurement,Project Identified by Alister Hufton on 6/21/16. Per Ben's input 2/3 of the total will be spent in 2016. ,"7/19/16 Per IMPACT decision, this project will not be presented at PMT/IMPACT.",Individual,CTT,Tech Transfers,Launch and Commercial Excellence,,This project directly impacts Oceanside's Contribution to Target for its ability to manufacture Etro.,FXNL LT Appr,Jim Neeleman,Rich Johnson,Alister Hufton,Ben Chmielewski,,,,1.4,2.3,9,,$k,,"$1,329k",$656k,,,,,"$1,985k",,,"$1,329k",$656k,,,,,"$1,985k",,,
,,,G160,74554,Replacement of Swedgelok Fitting of N2 Gas Piping of U-4000 Skid with Sanitary Fitting,Project Identified by Bahar Dahi on 6/22/16.,,Individual,QSP,Improvements and Efficiencies,Reliability and Value,,This fitting should have been installed from the beginning.,FXNL LT Appr,Scott Fields,TBD,TBD,Bahar Dahi,,,,1.8,1.6,20,,$k,,,$550k,,,,,$550k,,,,$550k,,,,,$550k,,,
,,,G160,74555,Replacement of Back Pressure Control Valve on Formulation Skid U-4000,Project Identified by Bahar Dahi on 6/22/16.,,Individual,QSP,Improvements and Efficiencies,Reliability and Value,,The proper functionality of Back Pressure Control Valve is essential for the UF operation.,FXNL LT Appr,Scott Fields,TBD,TBD,Bahar Dahi,,,,2.7,2.4,17.8,,$k,,,$550k,,,,,$550k,,,,$550k,,,,,$550k,,,
,,,G160,74552,Replacement of Obsolete Benchtop Horiba pH Meter,Project Identified by Bahar Dahi on 6/22/16.,,Individual,QSP,Improvements and Efficiencies,Fit for Purpose,,Actemra will be run at OCN through 2020.,FXNL LT Appr,Zaymar Sedra,TBD,TBD,Bahar Dahi,,,,1.7,2.7,10.4,,$k,,,"$1,200k",,,,,"$1,200k",,,,"$1,200k",,,,,"$1,200k",,,
,,,,96215,20L Bioreactors and NovaFlex Analyzer,,,Global,QSP,Tech Transfers,Launch and Commercial Excellence,,This equipment applied to OLP small scale and pilot scale studies will ensure successful current and future tech transfers with a potential of reducing large scale ER/QRs.,FXNL LT Appr,Jim Neeleman,TBD,Alister Hufton,Fikret Kulenovic,,,,2.7,1.6,20,,$k,,$450k,,,,,,$450k,,,$467k,,,,,,$467k,,,
,,1359,Y160,65094,Frit Storage Device,,7/27/16 CA Appr. 7/14/16 CA Submitted. 6/21/16 IMPACT approved second phase. ,Global,QSP,SHE and K-Directives,Highly Capable Workforce,,"Procure a frit handling storage system for the manufacturing building 311 in Oceanside. The frit storage system enables the frits (also called bed supports) to be safely be stored vertically, minimizing the footpront required per number of frits. They system allows segregation by product and keeps the frits isolated from the environment, offering increased protection against contamination. 
The scope of work is as follows: purchase of the frit storage system, shipping to site, uncrating and move into clean space. Project generated costs such as taxes and importer company fees as equipment is manufactured in Switzerland.",Execute,Melanie Yevilov,Juan Pacio,Mel Davis,Bahar Dahi,,,,2.4,0.6,20.2,,$k,,$55k,,,,,,$55k,,,$55k,,,,,,,,,
,,,,96217,Pallet Wrapper,,8/11/16 CA submitted. ,Global,QSP,Improvements and Efficiencies,Highly Capable Workforce,,This project is necessary to enable efficient operation in the warehouse.,CA Routing,Melanie Yevilov,George Groza,Mel Davis,George Groza,,,,1.4,0.4,11.6,,$k,,$50k,,,,,,$50k,,,$50k,,,,,,$50k,,,
,,,,96218,Column Maintenance Platform Installation,,,Global,RTO,Improvements and Efficiencies,Highly Capable Workforce,,"Based on JSA results, a high level of risk for slips, trips, and falls exists with this activity. Currently, the site is at risk for employee injury and an OHSA Recordable event.",FXNL LT Appr,Melanie Yevilov,Marcus Espinoza,Mel Davis,Marcus Espinoza,,,,1.8,1.6,13.3,,$k,,$75k,$100k,,,,,$175k,,,$75k,$100k,,,,,$175k,,,
,,,G160,74557,Harvest Filter Housing A Removal/Installation Improvements,,,Individual,QSP,Improvements and Efficiencies,Highly Capable Workforce,,"Based on JSA results, a high level of risk for injury is present. Should the employee lose contrl of the suspended load they could be severely injured. The result of an incident could result in an OSHA recordable incident and also impact production opereations.",FXNL LT Appr,Melanie Yevilov,Marcus Espinoza,Mel Davis,Marcus Espinoza,,,,1.8,0.6,15.1,,$k,,,$500k,,,,,$500k,,,,$500k,,,,,$500k,,,
