,Buckets,Responsible,PD Rep,PM,Project Indicator,projectNo,Project Name,Capital,Expense ,Total,Project Total,,Capital,Expense ,Total,Project Total,Cap Delta,Exp Delta,,Capital,Expense ,Total,Project Total,type,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,2016 TOTAL,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,2017 Total,2018 Total,2019 Total,2020 Total, Check 
,Control,CRBB,,Marcus,Global,74546,Mezzanine Safety Shower/Eye Wash Station Install,"$210,000 ",$0 ,"$210,000 ","$210,000 ",,"$100,000 ",$0 ,"$100,000 ",x ,"($110,000)",$0 ,,"$700,000 ",$0 ,"$700,000 ",,C,,,,, -   , -   , -   , -   ,"65,000", -   , -   ,"35,000","100,000","233,333","233,333","233,333", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,"700,000", -   , -   , -   , -   
,,,,Marcus,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,, -   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,Control,CRBB,,Marcus,Expense,97053,Pressure Safety Program - PI Phase,$0 ,"$100,000 ","$100,000 ","$100,000 ",,$0 ,"$100,000 ","$100,000 ",x,$0 ,$0 ,,$0 ,$0 ,$0 ,,C,,,,,,,,,,,,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,,,,,,,,,,,,,,,,,,,,,,,E, -   , -   , -   , -   , -   , -   ,"20,000","20,000","20,000","20,000", -   ,"20,000","100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
x,Control,CRBB,,Marcus,Global,65066,Appleton Tank Mover,$0 ,$0 ,$0 ,,,"$73,000 ",,"$73,000 ",x,"$73,000 ",$0 ,,$0 ,$0 ,$0 ,,C,,,,, -   ,"67,979", -   ,"5,021", -   , -   , -   , -   ,"73,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
,,,,,Expense,97074,SDGE Rebate,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Marcus,,,,,,,,,,,,,,,,,,,,E,,,,,,"-394,000",,,,,,,"-394,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,
, ,,,,,,Everything above this line is currently in Execution ,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Control,Other,,Rich  ,Startup,74127,Harvest Modifications Start-up,"$125,000 ",$0 ,"$125,000 ","$2,400,000 ",,"$125,000 ",$0 ,"$125,000 ",x,$0 ,$0 ,,$0 ,$0 ,$0 ,,C, -   , -   , -   , -   , -   , -   , -   ,"10,000","15,000","28,000","22,000","50,000","125,000", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,,,Rich,,,,,,,,,,,,,, ,,,,,,E, -   , -   , -   , -   , -   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
x,No Control,PTAA,,Deidre,Startup,74491,Etro Tech Transfer,"$7,015,007 ","$200,000 ","$7,215,007 ","$22,025,135 ",,"$6,094,794 ","$116,900 ","$6,211,694 ",x,"($920,213)","($83,100)",,"$12,701,630 ","$135,000 ","$12,836,630 ",,C,,,,,,,,,,,"500,000","490,000","990,000","214,583","214,583","429,166","965,623","1,609,372","2,038,538","2,038,538","1,502,081","965,623","429,166","214,583","107,291","113,967","113,967","227,934","512,851","854,751","1,082,685","1,082,685","797,768","512,851","227,934","113,967","56,983","95,444","95,444","190,888","429,497","715,829","906,716","906,716","668,107","429,497","190,888","95,444","47,722",,,,,,,,,,,,,"10,729,147","5,698,343","4,772,192", -   , -   
,,,,Deidre,,,,,,,,,,,,,, ,,,,,,E,,,,,,,,,,,"10,000",,"10,000","8,598","8,598","17,196","38,691","64,485","81,681","81,681","60,186","38,691","17,196","8,598","4,299","3,353","3,353","6,706","15,089","25,148","31,854","31,854","23,471","15,089","6,706","3,353","1,677","3,451","3,451","6,902","15,530","25,883","32,785","32,785","24,157","15,530","6,902","3,451","1,726",,,,,,,,,,,,,"429,900","167,653","172,553", -   , -   
,Control,CRBB,,Anthony O.,Global,96991,Asset Replacement 2016 - Engineering (cc642),$0 ,$0 ,$0 ,$0 ,,"$229,675 ",$0 ,"$229,675 ",xo,"$229,675 ",$0 ,,$0 ,$0 ,$0 ,,C, -   , -   , -   , -   , -   ,,,"10,469","12,234","12,234","12,234","12,234","59,404", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,0
,,,,Anthony O.,,,,,,,,,,,,,, ,,,,,,E,,,,,,"-10,000",,,,,, -   ,"-10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,Control,CRBB,,Anthony O.,Global,96995,Asset Replacement 2016 - Quality (cc583),$0 ,$0 ,$0 ,$0 ,,"$98,980 ",$0 ,"$98,980 ",x,"$98,980 ",$0 ,,$0 ,$0 ,$0 ,,C, -   , -   , -   , -   , -   ,"14,140","14,140","14,140","14,140","14,140","14,140","14,140","98,980", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,0.5
,,,,Anthony O.,,,,,,,,,,,,,, ,,,,,,E,,,,,,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,Control,CRBB,,Anthony O.,Global,96994,Asset Replacement 2016 - Manufacturing (cc659),$0 ,$0 ,$0 ,$0 ,,"$131,504 ",$0 ,"$131,504 ",x,"$131,504 ",$0 ,,$0 ,$0 ,$0 ,,C, -   , -   , -   , -   , -   ,,,,"5,145","18,786","18,786","18,786","61,504", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,0
,,,,Anthony O.,,,,,,,,,,,,,, ,,,,,,E,,,,,,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,Control,CRBB,,Anthony O.,Global,96992,Asset Replacement 2016 - Material Ops (cc484),$0 ,$0 ,$0 ,$0 ,,"$13,848 ",$0 ,"$13,848 ",x,"$13,848 ",$0 ,,$0 ,$0 ,$0 ,,C, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,,,Anthony O.,,,,,,,,,,,,,, ,,,,,,E,,,,,,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,Control,CRBB,,Anthony O.,Global,96993,Asset Replacement 2016 - Manufacturing (cc1359),$0 ,$0 ,$0 ,$0 ,,"$25,188 ",$0 ,"$25,188 ",x,"$25,188 ",$0 ,,$0 ,$0 ,$0 ,,C, -   , -   , -   , -   , -   ,"3,598","3,598","3,598","3,598","3,598","3,598","3,598","25,188", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,0.5
,,,,Anthony O.,,,,,,,,,,,,,, ,,,,,,E,,,,,,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,Control,CRBB,,Anthony O.,Global,96997,Asset Replacement 2016 - Maintenance (cc1236),$0 ,$0 ,$0 ,$0 ,,"$15,617 ",$0 ,"$15,617 ",x,"$15,617 ",$0 ,,$0 ,$0 ,$0 ,,C, -   , -   , -   , -   , -   , -   , -   ,"7,809","7,809", -   , -   , -   ,"15,617", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,0.5
,,,,Anthony O.,,,,,,,,,,,,,, ,,,,,,E,,,,,,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,CRBB,,,Individual Project,74435,Hastelloy Chromatography Column (160cm),"$1,549,000 ",$0 ,"$1,549,000 ","$1,549,000 ",,,,,,"($1,549,000)",$0 ,,"$1,149,000 ",$0 ,"$1,149,000 ",,C,,,,,, -   , -   , -   , -   ,"100,000","100,000","200,000","400,000","400,000","300,000","200,000","149,000","100,000", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,"1,149,000", -   , -   , -   , -   
,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,, -   ,   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
Need,Control,CRBB,,Tucker/Mel,Global,74431,Buffer Prep Mezzanine Lift Construction,"$442,000 ",$0 ,"$442,000 ","$442,000 ",,"$442,000 ",$0 ,"$442,000 ",x,$0 ,$0 ,,$0 ,$0 ,$0 ,,C, -   , -   , -   , -   , -   , -   ,"41,000","48,000","56,000","59,000","238,000", -   ,"442,000", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,,,Tucker/Mel,,,,,,,,,,,,,, ,,,,,,E,,,,,,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,Control,CRBB,,Marcus,Global,96174,Fall Protection Phase II,$0 ,$0 ,$0 ,"$135,000 ",,"$135,000 ",$0 ,"$135,000 ",x,"$135,000 ",$0 ,,"$5,000 ",$0 ,"$5,000 ",,C, -   , -   , -   , -   , -   , -   , -   , -   ,"20,000","35,000","50,000","25,000","130,000","5,000", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,"5,000", -   , -   , -   , -   
,,,,Marcus,,,,,,,,,,,,,, ,,,,,,E,,,,,,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,Control,CRBB,,Marcus,Global,96139,Trash Bin Storm Water Mitigation,"$200,000 ",$0 ,"$200,000 ","$200,000 ",,$0 ,$0 ,$0 ,x,"($200,000)",$0 ,,"$200,000 ",$0 ,"$200,000 ",,C, -   , -   , -   , -   , -   , -   , -   , -   ,"10,000","25,000","15,000", -   ,"50,000","20,000","40,000","60,000","80,000", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,"200,000", -   , -   , -   , -   
,,,,Marcus,,,,,,,,,,,,,, ,,,,,,E,,,,,,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,Control,CRBB,,TBD,Expense,96227,Conference Room 315 Expansion,$0 ,"$300,000 ","$300,000 ","$300,000 ",,$0 ,"$108,000 ","$108,000 ",x,$0 ,"($192,000)",,$0 ,$0 ,$0 ,,C,,,,,,,,,,,"60,000","80,000","140,000", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,,,TBD,,,,,,,,,,,,,,,,,,,,E,,,,, -   , -   , -   , -   , -   , -   ,"10,000",,"10,000", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,Control,CRBB,,Marcus,Global,96137,Security Systems Upgrade,"$250,000 ",$0 ,"$250,000 ","$250,000 ",,"$175,000 ",$0 ,"$175,000 ",x,"($75,000)",$0 ,,$0 ,$0 ,$0 ,,C,,,,, -   , -   , -   , -   , -   ,"30,000","120,000","52,000","202,000", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,,,Marcus,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,, -   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,Control,CRBB,,TBD,Global,96207,Weigh and Dispense Sink (CAPA1123109),$0 ,$0 ,$0 ,,,"$25,000 ","$5,000 ","$30,000 ",x,"$25,000 ","$5,000 ",,$0 ,$0 ,$0 ,,C,,,,, -   , -   , -   , -   , -   , -   ,"50,000","100,000","150,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,,,TBD,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,"15,000", -   ,"15,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,Control,CRBB,,TBD,Expense,96228,MFG Bullpen,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,"150,000","150,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,,,TBD,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,, -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,Control,CRBB,,Juan,Global,96216,Frit Handling Unit,,,,,,,,,,,,,,,,,C,,,,,,,,,,,"45,000","10,000","55,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,,,Juan,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,,,,Individual Project,96220,400L Mixing Vessel,"$104,650,502 ","$825,644 ","$105,476,146 ","$194,047,008 ",,"$92,403,605 ","$1,248,192 ","$93,651,797 ",x,"($12,246,897)","$422,548 ",,"$33,364,074 ","$916,061 ","$34,280,135 ",,C,,,,,,,,,,"80,000","120,000","120,000","320,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,,,,,,,,,,,,,,,,, ,,,,,,E,,,,,,,,,,,"10,000","10,000","20,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,,,,Individual Project,96218,Column Maintenance Platform Installation,"$2,328,891 ","$27,591 ","$2,356,482 ","$3,713,805 ",,"$2,027,438 ","$43,784 ","$2,071,222 ",x,"($301,453)","$16,193 ",,"$113,412 ",$464 ,"$113,876 ",,C,,,,,,,,,,,"25,000","50,000","75,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,,,,,,,,,,,,, ,,,, ,,,,,,E,,,,,,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,,,,Individual Project,96215,20L Bioreactors and NovaFlex Analyzer,"$938,961 ","$10,802 ","$949,763 ","$1,899,375 ",,"$954,867 ","$141,531 ","$1,096,398 ",x,"$15,906 ","$130,729 ",,"$352,550 ","$2,075 ","$354,625 ",,C,,,,,,,,,,"100,000","200,000","150,000","450,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,,,,,,,,,,,,, ,,,, ,,,,,,E,,,,,,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,,,,Global,96209,Harvest Depth Filter Installation Tool,,,,,,,,,,,,,,,,,C,,,,,,,,,,,"80,000","20,000","100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
,,,,,Individual Project,74551,P2 User Furnished Equipment Procurement,"$938,961 ","$10,802 ","$949,763 ","$1,899,375 ",,"$954,867 ","$141,531 ","$1,096,398 ",x,"$15,906 ","$130,729 ",,"$352,550 ","$2,075 ","$354,625 ",,C,,,,,,,,,"185,000","200,000","560,000","250,000","1,195,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,,,,,,,,,,,,, ,,,, ,,,,,,E,,,,,,,,,,"50,000","40,000","44,000","134,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,,,,Global,96217,Pallet Wrapper,,,,,,,,,,,,,,,,,C,,,,,,,,,,,"50,000",,"50,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
,,,,,Global,96169,Level Indicator Transmitters,,,,,,,,,,,,,,,,,C,,,,,,,,,,"25,000","35,000","10,000","70,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
,,,,,Expoense,97071,Pipe Labelling Improvement - PI,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,"15,000","25,000","10,000","50,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
,,,,,,,Execution Target Line,,,,,,,,,,, ,,,,,,C,,,,,,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SUBTOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"159,706,302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"$7,233,192 ","$28,727 ","$7,261,919 ","$12,909,963 ",,"$7,001,377 ","$37,498 ","$7,038,875 ",x,"($231,815)","$8,771 ",,"$4,833,864 ",$0 ,"$4,833,864 ",,C,,,,,,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,#N/A
,,,,,,,SUBTOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,GRAND TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"159,706,302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,DELTA vs CONSTRAINT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
